Artículo,Article
Capítulo de libro,Book
Comunicación de congreso,Technical paper
Dataset,Dataset
Documento de trabajo,Research Paper
Imagen,Image
Imagen 3-D,Image
Informe Técnico,Technical paper
Journal Article,Scholarly article
Libro,Books or book chapters
Mapa,Map
Modelo de utilidad,Patented
Partitura,Partitura
Patente,Patent
Pre-print,Article
Presentación,Presentation
Proyecto fin de carrera,Thesis
Póster,Image
Reseña bibliográfica,Bibliographic citation 
Software,Technical paper
Solicitud de patente,Patent
Tesina,Research paper
Tesis,Thesis
Trabajo de divulgación,Research Paper
Traducción de patente,Patent
Video,Video 
material didáctico,Course materials 
